index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00124952,-176,0.0275538,-8200,-9.78107,232,0.149295
1,10,1,0.00249903,-192,0.00835254,-8224,-9.8101,240,0.158841
2,10,2,0.00374855,-216,-0.0204493,-8200,-9.78107,264,0.187478
3,10,3,0.00499807,-208,-0.0108487,-8216,-9.80042,232,0.149295
4,10,4,0.00624758,-216,-0.0204493,-8208,-9.79074,264,0.187478
5,10,5,0.0074971,-200,-0.00124807,-8232,-9.81978,256,0.177933
6,10,6,0.00874662,-208,-0.0108487,-8232,-9.81978,240,0.158841
7,10,7,0.00999613,-168,0.0371544,-8208,-9.79074,240,0.158841
8,10,8,0.0112456,-232,-0.0396505,-8232,-9.81978,240,0.158841
9,10,9,0.0124952,-200,-0.00124807,-8216,-9.80042,192,0.101567
10,10,10,0.0137447,-184,0.0179532,-8224,-9.8101,224,0.13975
11,10,11,0.0149942,-184,0.0179532,-8264,-9.85849,224,0.13975
12,11,0,0.0162437,-168,0.0371544,-8216,-9.80042,232,0.149295
13,11,1,0.0174932,-208,-0.0108487,-8200,-9.78107,164,0.0681566
14,11,2,0.0187427,-176,0.0275538,-8232,-9.81978,248,0.168387
15,11,3,0.0199923,-192,0.00835254,-8256,-9.84881,240,0.158841
16,11,4,0.0212418,-192,0.00835254,-8192,-9.77139,264,0.187478
17,11,5,0.0224913,-176,0.0275538,-8200,-9.78107,248,0.168387
18,12,0,0.0237408,-192,0.00835254,-8216,-9.80042,268,0.192251
19,12,1,0.0249903,-216,-0.0204493,-8240,-9.82946,248,0.168387
20,12,2,0.0262398,-216,-0.0204493,-8208,-9.79074,240,0.158841
21,12,3,0.0274894,-184,0.0179532,-8256,-9.84881,216,0.130204
22,12,4,0.0287389,-208,-0.0108487,-8224,-9.8101,252,0.17316
23,12,5,0.0299884,-176,0.0275538,-8248,-9.83914,240,0.158841
24,12,6,0.0312379,-184,0.0179532,-8200,-9.78107,256,0.177933
25,12,7,0.0324874,-148,0.0611559,-8176,-9.75203,248,0.168387
26,13,0,0.0337369,-184,0.0179532,-8240,-9.82946,264,0.187478
27,13,1,0.0349865,-184,0.0179532,-8240,-9.82946,224,0.13975
28,13,2,0.036236,-176,0.0275538,-8184,-9.76171,248,0.168387
29,13,3,0.0374855,-140,0.0707565,-8168,-9.74235,232,0.149295
30,13,4,0.038735,-192,0.00835254,-8232,-9.81978,208,0.120658
31,13,5,0.0399845,-176,0.0275538,-8240,-9.82946,240,0.158841
32,13,6,0.041234,-184,0.0179532,-8216,-9.80042,284,0.211343
33,13,7,0.0424836,-216,-0.0204493,-8192,-9.77139,280,0.20657
34,14,0,0.0437331,-224,-0.0300499,-8200,-9.78107,240,0.158841
35,14,1,0.0449826,-232,-0.0396505,-8160,-9.73268,224,0.13975
36,14,2,0.0462321,-216,-0.0204493,-8224,-9.8101,244,0.163614
37,14,3,0.0474816,-176,0.0275538,-8208,-9.79074,200,0.111112
38,14,4,0.0487311,-208,-0.0108487,-8224,-9.8101,216,0.130204
39,14,5,0.0499807,-208,-0.0108487,-8248,-9.83914,216,0.130204
40,14,6,0.0512302,-192,0.00835254,-8216,-9.80042,216,0.130204
41,14,7,0.0524797,-184,0.0179532,-8256,-9.84881,320,0.254299
42,15,0,0.0537292,-208,-0.0108487,-8216,-9.80042,232,0.149295
43,15,1,0.0549787,-216,-0.0204493,-8248,-9.83914,216,0.130204
44,15,2,0.0562282,-208,-0.0108487,-8216,-9.80042,248,0.168387
45,15,3,0.0574778,-164,0.0419547,-8248,-9.83914,264,0.187478
46,15,4,0.0587273,-184,0.0179532,-8184,-9.76171,248,0.168387
47,15,5,0.0599768,-168,0.0371544,-8240,-9.82946,240,0.158841
48,15,6,0.0612263,-192,0.00835254,-8208,-9.79074,308,0.23998
49,15,7,0.0624758,-208,-0.0108487,-8192,-9.77139,216,0.130204
50,16,0,0.0637253,-208,-0.0108487,-8208,-9.79074,180,0.0872481
51,16,1,0.0649749,-216,-0.0204493,-8232,-9.81978,292,0.220888
52,16,2,0.0662244,-240,-0.0492511,-8192,-9.77139,224,0.13975
53,16,3,0.0674739,-192,0.00835254,-8232,-9.81978,240,0.158841
54,16,4,0.0687234,-176,0.0275538,-8224,-9.8101,264,0.187478
55,16,5,0.0699729,-160,0.046755,-8232,-9.81978,272,0.197024
56,16,6,0.0712224,-200,-0.00124807,-8248,-9.83914,216,0.130204
57,16,7,0.072472,-168,0.0371544,-8216,-9.80042,208,0.120658
58,17,0,0.0737215,-192,0.00835254,-8232,-9.81978,216,0.130204
59,17,1,0.074971,-176,0.0275538,-8224,-9.8101,200,0.111112
60,17,2,0.0762205,-192,0.00835254,-8192,-9.77139,280,0.20657
61,17,3,0.07747,-168,0.0371544,-8256,-9.84881,240,0.158841
62,17,4,0.0787195,-200,-0.00124807,-8208,-9.79074,280,0.20657
63,17,5,0.0799691,-216,-0.0204493,-8224,-9.8101,248,0.168387
64,17,6,0.0812186,-208,-0.0108487,-8232,-9.81978,256,0.177933
65,17,7,0.0824681,-184,0.0179532,-8184,-9.76171,272,0.197024
66,18,0,0.0837176,-216,-0.0204493,-8168,-9.74235,256,0.177933
67,18,1,0.0849671,-184,0.0179532,-8224,-9.8101,264,0.187478
68,18,2,0.0862166,-184,0.0179532,-8184,-9.76171,216,0.130204
69,18,3,0.0874662,-216,-0.0204493,-8216,-9.80042,248,0.168387
70,18,4,0.0887157,-176,0.0275538,-8224,-9.8101,248,0.168387
71,18,5,0.0899652,-200,-0.00124807,-8200,-9.78107,264,0.187478
72,18,6,0.0912147,-168,0.0371544,-8192,-9.77139,264,0.187478
