index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125,2067,0.106604
1,10,1,0.0025,2067,0.106604
2,10,2,0.00375,2067,0.106604
3,10,3,0.005,2067,0.106604
4,10,4,0.00625,2067,0.106604
5,10,5,0.0075,2067,0.106604
6,10,6,0.00875,2067,0.106604
7,10,7,0.01,2067,0.106604
8,11,0,0.01125,2067,0.106604
9,11,1,0.0125,2067,0.106604
10,11,2,0.01375,2066,0.0915259
11,11,3,0.015,2067,0.106604
12,11,4,0.01625,2067,0.106604
13,11,5,0.0175,2067,0.106604
14,11,6,0.01875,2067,0.106604
15,11,7,0.02,2068,0.121683
16,12,0,0.02125,2067,0.106604
17,12,1,0.0225,2067,0.106604
18,12,2,0.02375,2067,0.106604
19,12,3,0.025,2067,0.106604
20,12,4,0.02625,2067,0.106604
21,12,5,0.0275,2067,0.106604
22,12,6,0.02875,2067,0.106604
23,12,7,0.03,2067,0.106604
24,12,8,0.03125,2067,0.106604
25,12,9,0.0325,2067,0.106604
26,13,0,0.03375,2067,0.106604
27,13,1,0.035,2067,0.106604
28,13,2,0.03625,2067,0.106604
29,13,3,0.0375,2068,0.121683
30,13,4,0.03875,2067,0.106604
31,13,5,0.04,2067,0.106604
32,14,0,0.04125,2067,0.106604
33,14,1,0.0425,2067,0.106604
34,14,2,0.04375,2067,0.106604
35,14,3,0.045,2067,0.106604
36,14,4,0.04625,2068,0.121683
37,14,5,0.0475,2068,0.121683
38,14,6,0.04875,2067,0.106604
39,14,7,0.05,2067,0.106604
40,15,0,0.05125,2067,0.106604
41,15,1,0.0525,2067,0.106604
42,15,2,0.05375,2067,0.106604
43,15,3,0.055,2067,0.106604
44,15,4,0.05625,2067,0.106604
45,15,5,0.0575,2068,0.121683
46,15,6,0.05875,2067,0.106604
47,15,7,0.06,2068,0.121683
48,16,0,0.06125,2066,0.0915259
49,16,1,0.0625,2067,0.106604
50,16,2,0.06375,2067,0.106604
51,16,3,0.065,2068,0.121683
52,16,4,0.06625,2068,0.121683
53,16,5,0.0675,2067,0.106604
54,16,6,0.06875,2067,0.106604
55,16,7,0.07,2067,0.106604
56,17,0,0.07125,2067,0.106604
57,17,1,0.0725,2067,0.106604
58,17,2,0.07375,2067,0.106604
59,17,3,0.075,2068,0.121683
60,17,4,0.07625,2067,0.106604
61,17,5,0.0775,2068,0.121683
62,17,6,0.07875,2067,0.106604
