index, frame, sample, time, raw[0], cal[0]
0,16,0,0.00124963,1926,-2.01945
1,16,1,0.00249927,1927,-2.00437
2,16,2,0.0037489,1926,-2.01945
3,16,3,0.00499853,1927,-2.00437
4,16,4,0.00624817,1926,-2.01945
5,16,5,0.0074978,1927,-2.00437
6,16,6,0.00874743,1927,-2.00437
7,16,7,0.00999707,1927,-2.00437
8,16,8,0.0112467,1927,-2.00437
9,16,9,0.0124963,1927,-2.00437
10,16,10,0.013746,1927,-2.00437
11,16,11,0.0149956,1927,-2.00437
12,17,0,0.0162452,1926,-2.01945
13,17,1,0.0174949,1927,-2.00437
14,17,2,0.0187445,1926,-2.01945
15,17,3,0.0199941,1927,-2.00437
16,17,4,0.0212438,1926,-2.01945
17,17,5,0.0224934,1927,-2.00437
18,17,6,0.023743,1927,-2.00437
19,17,7,0.0249927,1927,-2.00437
20,17,8,0.0262423,1927,-2.00437
21,17,9,0.0274919,1927,-2.00437
22,17,10,0.0287416,1927,-2.00437
23,17,11,0.0299912,1927,-2.00437
24,18,0,0.0312408,1927,-2.00437
25,18,1,0.0324905,1927,-2.00437
26,19,0,0.0337401,1927,-2.00437
27,19,1,0.0349897,1928,-1.98929
28,19,2,0.0362394,1927,-2.00437
29,19,3,0.037489,1927,-2.00437
30,19,4,0.0387386,1927,-2.00437
31,19,5,0.0399883,1927,-2.00437
32,19,6,0.0412379,1927,-2.00437
33,19,7,0.0424875,1927,-2.00437
34,20,0,0.0437372,1926,-2.01945
35,20,1,0.0449868,1927,-2.00437
36,20,2,0.0462364,1927,-2.00437
37,20,3,0.0474861,1927,-2.00437
38,20,4,0.0487357,1927,-2.00437
39,20,5,0.0499853,1927,-2.00437
40,20,6,0.051235,1927,-2.00437
41,20,7,0.0524846,1927,-2.00437
42,21,0,0.0537342,1927,-2.00437
43,21,1,0.0549839,1927,-2.00437
44,21,2,0.0562335,1926,-2.01945
45,21,3,0.0574831,1927,-2.00437
46,21,4,0.0587328,1927,-2.00437
47,21,5,0.0599824,1927,-2.00437
48,21,6,0.061232,1926,-2.01945
49,21,7,0.0624817,1926,-2.01945
50,22,0,0.0637313,1926,-2.01945
51,22,1,0.0649809,1927,-2.00437
52,22,2,0.0662306,1927,-2.00437
53,22,3,0.0674802,1927,-2.00437
54,22,4,0.0687298,1926,-2.01945
55,22,5,0.0699795,1927,-2.00437
56,22,6,0.0712291,1927,-2.00437
57,22,7,0.0724787,1926,-2.01945
58,23,0,0.0737284,1926,-2.01945
59,23,1,0.074978,1927,-2.00437
60,23,2,0.0762276,1926,-2.01945
61,23,3,0.0774773,1927,-2.00437
62,23,4,0.0787269,1927,-2.00437
63,23,5,0.0799765,1927,-2.00437
64,23,6,0.0812262,1926,-2.01945
65,23,7,0.0824758,1927,-2.00437
66,24,0,0.0837254,1927,-2.00437
67,24,1,0.0849751,1927,-2.00437
68,24,2,0.0862247,1927,-2.00437
69,24,3,0.0874743,1927,-2.00437
70,24,4,0.088724,1926,-2.01945
71,24,5,0.0899736,1927,-2.00437
72,24,6,0.0912232,1926,-2.01945
73,24,7,0.0924729,1927,-2.00437
74,25,0,0.0937225,1926,-2.01945
75,25,1,0.0949721,1926,-2.01945
76,25,2,0.0962218,1926,-2.01945
77,25,3,0.0974714,1926,-2.01945
78,25,4,0.098721,1927,-2.00437
79,25,5,0.0999707,1927,-2.00437
80,25,6,0.10122,1926,-2.01945
81,25,7,0.10247,1926,-2.01945
82,26,0,0.10372,1926,-2.01945
83,26,1,0.104969,1927,-2.00437
84,26,2,0.106219,1927,-2.00437
85,26,3,0.107468,1927,-2.00437
86,26,4,0.108718,1927,-2.00437
87,26,5,0.109968,1927,-2.00437
88,26,6,0.111217,1926,-2.01945
89,26,7,0.112467,1927,-2.00437
90,27,0,0.113717,1926,-2.01945
91,27,1,0.114966,1927,-2.00437
92,27,2,0.116216,1927,-2.00437
93,27,3,0.117466,1927,-2.00437
94,27,4,0.118715,1926,-2.01945
95,27,5,0.119965,1927,-2.00437
96,27,6,0.121214,1927,-2.00437
97,27,7,0.122464,1927,-2.00437
98,28,0,0.123714,1927,-2.00437
99,28,1,0.124963,1927,-2.00437
100,28,2,0.126213,1927,-2.00437
101,28,3,0.127463,1927,-2.00437
102,28,4,0.128712,1927,-2.00437
103,28,5,0.129962,1928,-1.98929
104,28,6,0.131211,1927,-2.00437
105,28,7,0.132461,1927,-2.00437
106,29,0,0.133711,1927,-2.00437
107,29,1,0.13496,1927,-2.00437
108,29,2,0.13621,1926,-2.01945
109,29,3,0.13746,1927,-2.00437
110,29,4,0.138709,1926,-2.01945
111,29,5,0.139959,1927,-2.00437
112,29,6,0.141209,1926,-2.01945
113,29,7,0.142458,1927,-2.00437
114,30,0,0.143708,1927,-2.00437
115,30,1,0.144957,1927,-2.00437
116,30,2,0.146207,1926,-2.01945
117,30,3,0.147457,1926,-2.01945
118,30,4,0.148706,1926,-2.01945
119,30,5,0.149956,1927,-2.00437
120,30,6,0.151206,1926,-2.01945
121,30,7,0.152455,1927,-2.00437
122,31,0,0.153705,1926,-2.01945
123,31,1,0.154955,1926,-2.01945
124,31,2,0.156204,1926,-2.01945
125,31,3,0.157454,1926,-2.01945
126,31,4,0.158703,1926,-2.01945
127,31,5,0.159953,1927,-2.00437
128,31,6,0.161203,1926,-2.01945
129,31,7,0.162452,1926,-2.01945
130,32,0,0.163702,1926,-2.01945
131,32,1,0.164952,1926,-2.01945
132,32,2,0.166201,1926,-2.01945
133,32,3,0.167451,1927,-2.00437
134,32,4,0.1687,1926,-2.01945
135,32,5,0.16995,1926,-2.01945
136,32,6,0.1712,1926,-2.01945
137,32,7,0.172449,1926,-2.01945
138,32,8,0.173699,1926,-2.01945
139,32,9,0.174949,1927,-2.00437
140,33,0,0.176198,1926,-2.01945
141,33,1,0.177448,1926,-2.01945
142,33,2,0.178698,1926,-2.01945
143,33,3,0.179947,1926,-2.01945
144,33,4,0.181197,1926,-2.01945
145,33,5,0.182446,1927,-2.00437
146,34,0,0.183696,1927,-2.00437
147,34,1,0.184946,1927,-2.00437
148,34,2,0.186195,1926,-2.01945
149,34,3,0.187445,1926,-2.01945
150,34,4,0.188695,1926,-2.01945
151,34,5,0.189944,1926,-2.01945
152,34,6,0.191194,1926,-2.01945
153,34,7,0.192444,1927,-2.00437
154,35,0,0.193693,1926,-2.01945
155,35,1,0.194943,1926,-2.01945
156,35,2,0.196192,1925,-2.03453
157,35,3,0.197442,1926,-2.01945
158,35,4,0.198692,1926,-2.01945
159,35,5,0.199941,1926,-2.01945
160,35,6,0.201191,1926,-2.01945
161,35,7,0.202441,1926,-2.01945
162,35,8,0.20369,1926,-2.01945
163,35,9,0.20494,1926,-2.01945
164,36,0,0.206189,1927,-2.00437
165,36,1,0.207439,1926,-2.01945
166,36,2,0.208689,1926,-2.01945
167,36,3,0.209938,1926,-2.01945
168,36,4,0.211188,1926,-2.01945
169,36,5,0.212438,1926,-2.01945
170,37,0,0.213687,1926,-2.01945
171,37,1,0.214937,1927,-2.00437
172,37,2,0.216187,1926,-2.01945
173,37,3,0.217436,1926,-2.01945
174,37,4,0.218686,1926,-2.01945
175,37,5,0.219935,1927,-2.00437
176,37,6,0.221185,1926,-2.01945
177,37,7,0.222435,1927,-2.00437
178,38,0,0.223684,1926,-2.01945
179,38,1,0.224934,1927,-2.00437
180,38,2,0.226184,1926,-2.01945
181,38,3,0.227433,1926,-2.01945
182,38,4,0.228683,1926,-2.01945
183,38,5,0.229933,1927,-2.00437
184,38,6,0.231182,1926,-2.01945
185,38,7,0.232432,1926,-2.01945
186,38,8,0.233681,1926,-2.01945
187,38,9,0.234931,1926,-2.01945
188,39,0,0.236181,1926,-2.01945
189,39,1,0.23743,1926,-2.01945
190,39,2,0.23868,1926,-2.01945
191,39,3,0.23993,1926,-2.01945
192,39,4,0.241179,1926,-2.01945
193,39,5,0.242429,1926,-2.01945
194,40,0,0.243678,1925,-2.03453
195,40,1,0.244928,1926,-2.01945
196,40,2,0.246178,1926,-2.01945
197,40,3,0.247427,1926,-2.01945
198,40,4,0.248677,1926,-2.01945
199,40,5,0.249927,1926,-2.01945
200,40,6,0.251176,1926,-2.01945
201,40,7,0.252426,1926,-2.01945
202,41,0,0.253676,1925,-2.03453
203,41,1,0.254925,1926,-2.01945
204,41,2,0.256175,1926,-2.01945
205,41,3,0.257424,1926,-2.01945
206,41,4,0.258674,1926,-2.01945
207,41,5,0.259924,1926,-2.01945
208,41,6,0.261173,1925,-2.03453
209,41,7,0.262423,1926,-2.01945
210,41,8,0.263673,1926,-2.01945
211,41,9,0.264922,1926,-2.01945
212,42,0,0.266172,1926,-2.01945
213,42,1,0.267422,1926,-2.01945
214,42,2,0.268671,1926,-2.01945
