index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00124842,-192,0.00835254,-10352,-12.3845,292,0.220888
1,10,1,0.00249683,-200,-0.00124807,-10384,-12.4232,272,0.197024
2,10,2,0.00374525,-216,-0.0204493,-10376,-12.4135,272,0.197024
3,10,3,0.00499367,-208,-0.0108487,-10456,-12.5103,256,0.177933
4,10,4,0.00624208,-224,-0.0300499,-10428,-12.4764,300,0.230434
5,10,5,0.0074905,-224,-0.0300499,-10404,-12.4474,272,0.197024
6,10,6,0.00873892,-192,0.00835254,-10436,-12.4861,316,0.249526
7,10,7,0.00998733,-240,-0.0492511,-10440,-12.491,308,0.23998
8,11,0,0.0112357,-240,-0.0492511,-10404,-12.4474,300,0.230434
9,11,1,0.0124842,-208,-0.0108487,-10424,-12.4716,308,0.23998
10,11,2,0.0137326,-232,-0.0396505,-10448,-12.5006,280,0.20657
11,11,3,0.014981,-248,-0.0588518,-10456,-12.5103,316,0.249526
12,11,4,0.0162294,-208,-0.0108487,-10412,-12.4571,288,0.216116
13,11,5,0.0174778,-208,-0.0108487,-10480,-12.5394,324,0.259071
14,11,6,0.0187262,-200,-0.00124807,-10444,-12.4958,256,0.177933
15,11,7,0.0199747,-216,-0.0204493,-10480,-12.5394,308,0.23998
16,12,0,0.0212231,-232,-0.0396505,-10456,-12.5103,308,0.23998
17,12,1,0.0224715,-232,-0.0396505,-10488,-12.549,248,0.168387
18,12,2,0.0237199,-260,-0.0732527,-10504,-12.5684,292,0.220888
19,12,3,0.0249683,-216,-0.0204493,-10488,-12.549,308,0.23998
20,12,4,0.0262167,-240,-0.0492511,-10472,-12.5297,292,0.220888
21,12,5,0.0274652,-256,-0.0684524,-10536,-12.6071,292,0.220888
22,12,6,0.0287136,-216,-0.0204493,-10480,-12.5394,272,0.197024
23,12,7,0.029962,-224,-0.0300499,-10512,-12.5781,308,0.23998
24,13,0,0.0312104,-224,-0.0300499,-10528,-12.5974,316,0.249526
25,13,1,0.0324588,-240,-0.0492511,-10504,-12.5684,284,0.211343
26,13,2,0.0337072,-216,-0.0204493,-10528,-12.5974,272,0.197024
27,13,3,0.0349557,-256,-0.0684524,-10512,-12.5781,292,0.220888
28,13,4,0.0362041,-232,-0.0396505,-10536,-12.6071,308,0.23998
29,13,5,0.0374525,-224,-0.0300499,-10536,-12.6071,324,0.259071
30,13,6,0.0387009,-224,-0.0300499,-10520,-12.5877,336,0.27339
31,13,7,0.0399493,-264,-0.078053,-10544,-12.6168,324,0.259071
32,14,0,0.0411977,-240,-0.0492511,-10512,-12.5781,300,0.230434
33,14,1,0.0424462,-256,-0.0684524,-10528,-12.5974,280,0.20657
34,14,2,0.0436946,-224,-0.0300499,-10536,-12.6071,276,0.201797
35,14,3,0.044943,-244,-0.0540514,-10536,-12.6071,280,0.20657
36,14,4,0.0461914,-224,-0.0300499,-10580,-12.6603,296,0.225661
37,14,5,0.0474398,-232,-0.0396505,-10536,-12.6071,340,0.278163
38,14,6,0.0486882,-224,-0.0300499,-10544,-12.6168,324,0.259071
39,14,7,0.0499367,-260,-0.0732527,-10556,-12.6313,300,0.230434
40,15,0,0.0511851,-268,-0.0828533,-10596,-12.6797,300,0.230434
41,15,1,0.0524335,-232,-0.0396505,-10576,-12.6555,324,0.259071
42,15,2,0.0536819,-248,-0.0588518,-10584,-12.6652,320,0.254299
43,15,3,0.0549303,-232,-0.0396505,-10572,-12.6507,356,0.297254
44,15,4,0.0561787,-200,-0.00124807,-10688,-12.791,300,0.230434
45,15,5,0.0574272,-200,-0.00124807,-10588,-12.67,284,0.211343
46,15,6,0.0586756,-248,-0.0588518,-10580,-12.6603,308,0.23998
47,15,7,0.059924,-256,-0.0684524,-10624,-12.7136,292,0.220888
48,16,0,0.0611724,-208,-0.0108487,-10616,-12.7039,368,0.311573
49,16,1,0.0624208,-248,-0.0588518,-10588,-12.67,360,0.302027
50,16,2,0.0636692,-232,-0.0396505,-10580,-12.6603,300,0.230434
51,16,3,0.0649177,-208,-0.0108487,-10580,-12.6603,272,0.197024
52,16,4,0.0661661,-216,-0.0204493,-10600,-12.6845,316,0.249526
53,16,5,0.0674145,-232,-0.0396505,-10592,-12.6748,356,0.297254
54,16,6,0.0686629,-248,-0.0588518,-10632,-12.7232,292,0.220888
55,16,7,0.0699113,-248,-0.0588518,-10588,-12.67,344,0.282936
56,17,0,0.0711597,-200,-0.00124807,-10572,-12.6507,348,0.287709
57,17,1,0.0724082,-240,-0.0492511,-10596,-12.6797,284,0.211343
58,17,2,0.0736566,-240,-0.0492511,-10608,-12.6942,360,0.302027
59,17,3,0.074905,-264,-0.078053,-10624,-12.7136,300,0.230434
60,17,4,0.0761534,-216,-0.0204493,-10596,-12.6797,316,0.249526
61,17,5,0.0774018,-224,-0.0300499,-10616,-12.7039,344,0.282936
62,17,6,0.0786502,-184,0.0179532,-10600,-12.6845,340,0.278163
63,17,7,0.0798987,-208,-0.0108487,-10624,-12.7136,264,0.187478
64,18,0,0.0811471,-232,-0.0396505,-10584,-12.6652,392,0.34021
65,18,1,0.0823955,-216,-0.0204493,-10580,-12.6603,272,0.197024
66,18,2,0.0836439,-184,0.0179532,-10572,-12.6507,308,0.23998
67,18,3,0.0848923,-240,-0.0492511,-10580,-12.6603,336,0.27339
68,18,4,0.0861407,-208,-0.0108487,-10588,-12.67,324,0.259071
69,18,5,0.0873892,-200,-0.00124807,-10620,-12.7087,336,0.27339
70,18,6,0.0886376,-184,0.0179532,-10568,-12.6458,344,0.282936
71,18,7,0.089886,-208,-0.0108487,-10624,-12.7136,292,0.220888
72,19,0,0.0911344,-200,-0.00124807,-10608,-12.6942,352,0.292482
73,19,1,0.0923828,-200,-0.00124807,-10600,-12.6845,332,0.268617
74,19,2,0.0936312,-192,0.00835254,-10584,-12.6652,344,0.282936
75,19,3,0.0948797,-168,0.0371544,-10572,-12.6507,316,0.249526
76,19,4,0.0961281,-224,-0.0300499,-10584,-12.6652,316,0.249526
77,19,5,0.0973765,-176,0.0275538,-10624,-12.7136,376,0.321119
78,19,6,0.0986249,-200,-0.00124807,-10568,-12.6458,340,0.278163
79,19,7,0.0998733,-192,0.00835254,-10600,-12.6845,324,0.259071
80,20,0,0.101122,-184,0.0179532,-10580,-12.6603,308,0.23998
81,20,1,0.10237,-184,0.0179532,-10600,-12.6845,376,0.321119
82,20,2,0.103619,-176,0.0275538,-10620,-12.7087,328,0.263844
83,20,3,0.104867,-192,0.00835254,-10572,-12.6507,340,0.278163
84,20,4,0.106115,-168,0.0371544,-10584,-12.6652,344,0.282936
85,20,5,0.107364,-176,0.0275538,-10576,-12.6555,316,0.249526
86,20,6,0.108612,-184,0.0179532,-10572,-12.6507,328,0.263844
87,20,7,0.109861,-168,0.0371544,-10612,-12.699,308,0.23998
88,21,0,0.111109,-184,0.0179532,-10544,-12.6168,308,0.23998
89,21,1,0.112357,-176,0.0275538,-10588,-12.67,324,0.259071
90,21,2,0.113606,-200,-0.00124807,-10552,-12.6265,360,0.302027
91,21,3,0.114854,-160,0.046755,-10564,-12.641,324,0.259071
92,21,4,0.116103,-200,-0.00124807,-10528,-12.5974,292,0.220888
93,21,5,0.117351,-168,0.0371544,-10552,-12.6265,308,0.23998
94,21,6,0.1186,-156,0.0515553,-10552,-12.6265,316,0.249526
95,21,7,0.119848,-168,0.0371544,-10512,-12.5781,292,0.220888
96,22,0,0.121096,-152,0.0563556,-10568,-12.6458,316,0.249526
97,22,1,0.122345,-172,0.0323541,-10528,-12.5974,324,0.259071
98,22,2,0.123593,-128,0.0851575,-10560,-12.6361,300,0.230434
99,22,3,0.124842,-140,0.0707565,-10496,-12.5587,320,0.254299
100,22,4,0.12609,-120,0.0947581,-10512,-12.5781,316,0.249526
101,22,5,0.127338,-152,0.0563556,-10512,-12.5781,308,0.23998
102,22,6,0.128587,-160,0.046755,-10496,-12.5587,280,0.20657
103,22,7,0.129835,-192,0.00835254,-10488,-12.549,400,0.349756
104,23,0,0.131084,-160,0.046755,-10468,-12.5248,308,0.23998
105,23,1,0.132332,-136,0.0755568,-10480,-12.5394,336,0.27339
106,23,2,0.133581,-124,0.0899578,-10440,-12.491,328,0.263844
107,23,3,0.134829,-140,0.0707565,-10464,-12.52,344,0.282936
108,23,4,0.136077,-156,0.0515553,-10504,-12.5684,288,0.216116
109,23,5,0.137326,-152,0.0563556,-10480,-12.5394,344,0.282936
110,23,6,0.138574,-152,0.0563556,-10464,-12.52,344,0.282936
111,23,7,0.139823,-168,0.0371544,-10456,-12.5103,336,0.27339
112,24,0,0.141071,-140,0.0707565,-10456,-12.5103,268,0.192251
113,24,1,0.142319,-156,0.0515553,-10440,-12.491,320,0.254299
114,24,2,0.143568,-152,0.0563556,-10440,-12.491,308,0.23998
115,24,3,0.144816,-140,0.0707565,-10412,-12.4571,284,0.211343
116,24,4,0.146065,-124,0.0899578,-10384,-12.4232,316,0.249526
117,24,5,0.147313,-148,0.0611559,-10396,-12.4377,352,0.292482
118,24,6,0.148562,-148,0.0611559,-10412,-12.4571,272,0.197024
119,24,7,0.14981,-148,0.0611559,-10404,-12.4474,308,0.23998
120,25,0,0.151058,-152,0.0563556,-10360,-12.3942,288,0.216116
121,25,1,0.152307,-140,0.0707565,-10396,-12.4377,284,0.211343
122,25,2,0.153555,-104,0.113959,-10352,-12.3845,336,0.27339
123,25,3,0.154804,-140,0.0707565,-10352,-12.3845,344,0.282936
124,25,4,0.156052,-116,0.0995584,-10360,-12.3942,280,0.20657
125,25,5,0.1573,-152,0.0563556,-10344,-12.3748,324,0.259071
126,25,6,0.158549,-132,0.0803571,-10336,-12.3651,352,0.292482
127,25,7,0.159797,-112,0.104359,-10312,-12.3361,336,0.27339
128,26,0,0.161046,-136,0.0755568,-10304,-12.3264,296,0.225661
129,26,1,0.162294,-112,0.104359,-10272,-12.2877,272,0.197024
130,26,2,0.163543,-152,0.0563556,-10320,-12.3458,268,0.192251
131,26,3,0.164791,-176,0.0275538,-10256,-12.2684,300,0.230434
132,26,4,0.166039,-124,0.0899578,-10272,-12.2877,280,0.20657
133,26,5,0.167288,-172,0.0323541,-10236,-12.2442,256,0.177933
134,26,6,0.168536,-140,0.0707565,-10248,-12.2587,316,0.249526
135,26,7,0.169785,-176,0.0275538,-10252,-12.2635,316,0.249526
136,27,0,0.171033,-164,0.0419547,-10264,-12.278,316,0.249526
137,27,1,0.172281,-128,0.0851575,-10192,-12.1909,360,0.302027
138,27,2,0.17353,-148,0.0611559,-10200,-12.2006,308,0.23998
139,27,3,0.174778,-172,0.0323541,-10192,-12.1909,292,0.220888
140,27,4,0.176027,-140,0.0707565,-10208,-12.2103,272,0.197024
141,27,5,0.177275,-140,0.0707565,-10152,-12.1425,308,0.23998
142,27,6,0.178524,-176,0.0275538,-10176,-12.1716,284,0.211343
143,27,7,0.179772,-168,0.0371544,-10144,-12.1329,328,0.263844
144,28,0,0.18102,-140,0.0707565,-10116,-12.099,276,0.201797
145,28,1,0.182269,-160,0.046755,-10112,-12.0942,292,0.220888
146,28,2,0.183517,-144,0.0659562,-10084,-12.0603,300,0.230434
147,28,3,0.184766,-144,0.0659562,-10088,-12.0651,300,0.230434
148,28,4,0.186014,-132,0.0803571,-10092,-12.07,256,0.177933
149,28,5,0.187262,-140,0.0707565,-10076,-12.0506,316,0.249526
150,28,6,0.188511,-168,0.0371544,-10040,-12.0071,316,0.249526
151,28,7,0.189759,-156,0.0515553,-10048,-12.0167,316,0.249526
152,29,0,0.191008,-132,0.0803571,-10040,-12.0071,284,0.211343
153,29,1,0.192256,-168,0.0371544,-10016,-11.978,260,0.182705
154,29,2,0.193505,-156,0.0515553,-10016,-11.978,256,0.177933
155,29,3,0.194753,-116,0.0995584,-9992,-11.949,276,0.201797
156,29,4,0.196001,-176,0.0275538,-9936,-11.8812,264,0.187478
157,29,5,0.19725,-156,0.0515553,-10000,-11.9587,288,0.216116
158,29,6,0.198498,-216,-0.0204493,-9992,-11.949,280,0.20657
159,29,7,0.199747,-192,0.00835254,-9952,-11.9006,300,0.230434
160,30,0,0.200995,-216,-0.0204493,-9908,-11.8474,296,0.225661
161,30,1,0.202243,-168,0.0371544,-9904,-11.8425,272,0.197024
162,30,2,0.203492,-216,-0.0204493,-9888,-11.8232,288,0.216116
163,30,3,0.20474,-200,-0.00124807,-9880,-11.8135,248,0.168387
164,30,4,0.205989,-168,0.0371544,-9880,-11.8135,284,0.211343
165,30,5,0.207237,-176,0.0275538,-9856,-11.7845,296,0.225661
166,30,6,0.208486,-208,-0.0108487,-9864,-11.7941,336,0.27339
167,30,7,0.209734,-200,-0.00124807,-9816,-11.7361,284,0.211343
168,31,0,0.210982,-192,0.00835254,-9800,-11.7167,248,0.168387
169,31,1,0.212231,-164,0.0419547,-9784,-11.6974,272,0.197024
170,31,2,0.213479,-208,-0.0108487,-9764,-11.6732,232,0.149295
171,31,3,0.214728,-200,-0.00124807,-9764,-11.6732,264,0.187478
172,31,4,0.215976,-208,-0.0108487,-9772,-11.6828,316,0.249526
173,31,5,0.217224,-216,-0.0204493,-9756,-11.6635,292,0.220888
174,31,6,0.218473,-200,-0.00124807,-9728,-11.6296,264,0.187478
175,31,7,0.219721,-192,0.00835254,-9688,-11.5812,296,0.225661
176,32,0,0.22097,-200,-0.00124807,-9680,-11.5715,256,0.177933
177,32,1,0.222218,-192,0.00835254,-9664,-11.5522,280,0.20657
178,32,2,0.223467,-200,-0.00124807,-9672,-11.5619,272,0.197024
179,32,3,0.224715,-200,-0.00124807,-9584,-11.4554,256,0.177933
180,32,4,0.225963,-208,-0.0108487,-9568,-11.436,256,0.177933
181,32,5,0.227212,-216,-0.0204493,-9588,-11.4602,256,0.177933
182,32,6,0.22846,-224,-0.0300499,-9560,-11.4264,308,0.23998
183,32,7,0.229709,-192,0.00835254,-9504,-11.3586,256,0.177933
184,33,0,0.230957,-184,0.0179532,-9520,-11.378,292,0.220888
185,33,1,0.232205,-224,-0.0300499,-9496,-11.3489,256,0.177933
186,33,2,0.233454,-208,-0.0108487,-9488,-11.3393,284,0.211343
187,33,3,0.234702,-224,-0.0300499,-9464,-11.3102,264,0.187478
188,33,4,0.235951,-216,-0.0204493,-9480,-11.3296,256,0.177933
189,33,5,0.237199,-232,-0.0396505,-9436,-11.2764,284,0.211343
190,33,6,0.238448,-200,-0.00124807,-9416,-11.2522,268,0.192251
191,33,7,0.239696,-216,-0.0204493,-9360,-11.1844,292,0.220888
192,34,0,0.240944,-224,-0.0300499,-9368,-11.1941,316,0.249526
193,34,1,0.242193,-200,-0.00124807,-9376,-11.2038,316,0.249526
194,34,2,0.243441,-232,-0.0396505,-9296,-11.107,264,0.187478
195,34,3,0.24469,-216,-0.0204493,-9352,-11.1747,288,0.216116
196,34,4,0.245938,-240,-0.0492511,-9256,-11.0586,296,0.225661
197,34,5,0.247186,-240,-0.0492511,-9268,-11.0731,224,0.13975
198,34,6,0.248435,-224,-0.0300499,-9256,-11.0586,240,0.158841
199,34,7,0.249683,-236,-0.0444508,-9252,-11.0538,268,0.192251
200,35,0,0.250932,-216,-0.0204493,-9224,-11.0199,344,0.282936
201,35,1,0.25218,-240,-0.0492511,-9244,-11.0441,264,0.187478
202,35,2,0.253429,-224,-0.0300499,-9192,-10.9812,340,0.278163
203,35,3,0.254677,-240,-0.0492511,-9152,-10.9328,248,0.168387
204,35,4,0.255925,-208,-0.0108487,-9184,-10.9715,328,0.263844
205,35,5,0.257174,-236,-0.0444508,-9116,-10.8892,360,0.302027
206,35,6,0.258422,-224,-0.0300499,-9152,-10.9328,308,0.23998
207,35,7,0.259671,-192,0.00835254,-9124,-10.8989,256,0.177933
