index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0012489,-176,0.0275538,-9752,-11.6586,232,0.149295
1,10,1,0.00249779,-168,0.0371544,-9756,-11.6635,256,0.177933
2,10,2,0.00374669,-172,0.0323541,-9736,-11.6393,284,0.211343
3,10,3,0.00499559,-192,0.00835254,-9736,-11.6393,292,0.220888
4,10,4,0.00624448,-148,0.0611559,-9760,-11.6683,248,0.168387
5,10,5,0.00749338,-200,-0.00124807,-9784,-11.6974,232,0.149295
6,10,6,0.00874228,-168,0.0371544,-9800,-11.7167,240,0.158841
7,10,7,0.00999118,-144,0.0659562,-9792,-11.707,272,0.197024
8,11,0,0.0112401,-176,0.0275538,-9776,-11.6877,288,0.216116
9,11,1,0.012489,-200,-0.00124807,-9792,-11.707,256,0.177933
10,11,2,0.0137379,-152,0.0563556,-9784,-11.6974,256,0.177933
11,11,3,0.0149868,-148,0.0611559,-9784,-11.6974,240,0.158841
12,11,4,0.0162357,-184,0.0179532,-9824,-11.7457,208,0.120658
13,11,5,0.0174846,-172,0.0323541,-9832,-11.7554,300,0.230434
14,11,6,0.0187335,-208,-0.0108487,-9808,-11.7264,248,0.168387
15,11,7,0.0199824,-192,0.00835254,-9816,-11.7361,272,0.197024
16,12,0,0.0212312,-176,0.0275538,-9816,-11.7361,292,0.220888
17,12,1,0.0224801,-176,0.0275538,-9816,-11.7361,248,0.168387
18,12,2,0.023729,-152,0.0563556,-9856,-11.7845,284,0.211343
19,12,3,0.0249779,-208,-0.0108487,-9832,-11.7554,264,0.187478
20,12,4,0.0262268,-176,0.0275538,-9800,-11.7167,300,0.230434
21,12,5,0.0274757,-168,0.0371544,-9848,-11.7748,300,0.230434
22,12,6,0.0287246,-200,-0.00124807,-9832,-11.7554,272,0.197024
23,12,7,0.0299735,-192,0.00835254,-9840,-11.7651,360,0.302027
24,13,0,0.0312224,-168,0.0371544,-9848,-11.7748,308,0.23998
25,13,1,0.0324713,-184,0.0179532,-9824,-11.7457,300,0.230434
26,13,2,0.0337202,-208,-0.0108487,-9832,-11.7554,320,0.254299
27,13,3,0.0349691,-192,0.00835254,-9848,-11.7748,264,0.187478
28,13,4,0.036218,-200,-0.00124807,-9848,-11.7748,324,0.259071
29,13,5,0.0374669,-208,-0.0108487,-9816,-11.7361,336,0.27339
30,13,6,0.0387158,-240,-0.0492511,-9856,-11.7845,336,0.27339
31,13,7,0.0399647,-208,-0.0108487,-9832,-11.7554,320,0.254299
32,14,0,0.0412136,-184,0.0179532,-9864,-11.7941,300,0.230434
33,14,1,0.0424625,-192,0.00835254,-9856,-11.7845,264,0.187478
34,14,2,0.0437114,-200,-0.00124807,-9824,-11.7457,308,0.23998
35,14,3,0.0449603,-200,-0.00124807,-9840,-11.7651,292,0.220888
36,14,4,0.0462092,-176,0.0275538,-9840,-11.7651,288,0.216116
37,14,5,0.0474581,-208,-0.0108487,-9848,-11.7748,268,0.192251
38,14,6,0.048707,-176,0.0275538,-9856,-11.7845,316,0.249526
