index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00985994,0,0,0,0,0,0
1,10,1,0.0197199,0,0,0,0,0,0
2,10,2,0.0295798,0,0,0,0,0,0
3,10,3,0.0394398,0,0,0,0,0,0
4,11,0,0.0492997,0,0,0,0,0,0
5,11,1,0.0591597,0,0,0,0,0,0
6,11,2,0.0690196,0,0,0,0,0,0
7,11,3,0.0788796,0,0,0,0,0,0
8,13,0,0.0887395,0,0,0,0,0,0
9,14,0,0.0985994,0,0,0,0,0,0
10,15,0,0.108459,0,0,0,0,0,0
11,16,0,0.118319,0,0,0,0,0,0
12,17,0,0.128179,0,0,0,0,0,0
13,18,0,0.138039,0,0,0,0,0,0
14,19,0,0.147899,0,0,0,0,0,0
15,20,0,0.157759,0,0,0,0,0,0
16,21,0,0.167619,0,0,0,0,0,0
17,22,0,0.177479,0,0,0,0,0,0
18,23,0,0.187339,0,0,0,0,0,0
19,24,0,0.197199,0,0,0,0,0,0
20,25,0,0.207059,0,0,0,0,0,0
21,26,0,0.216919,0,0,0,0,0,0
22,27,0,0.226779,0,0,0,0,0,0
23,28,0,0.236639,0,0,0,0,0,0
24,29,0,0.246499,0,0,0,0,0,0
25,30,0,0.256359,0,0,0,0,0,0
26,31,0,0.266218,0,0,0,0,0,0
27,32,0,0.276078,0,0,0,0,0,0
28,33,0,0.285938,0,0,0,0,0,0
29,34,0,0.295798,0,0,0,0,0,0
30,35,0,0.305658,0,0,0,0,0,0
31,36,0,0.315518,0,0,0,0,0,0
32,37,0,0.325378,0,0,0,0,0,0
33,38,0,0.335238,0,0,0,0,0,0
34,39,0,0.345098,0,0,0,0,0,0
35,40,0,0.354958,0,0,0,0,0,0
36,41,0,0.364818,0,0,0,0,0,0
37,42,0,0.374678,0,0,0,0,0,0
38,43,0,0.384538,0,0,0,0,0,0
39,44,0,0.394398,0,0,0,0,0,0
40,45,0,0.404258,0,0,0,0,0,0
41,46,0,0.414118,0,0,0,0,0,0
42,47,0,0.423978,0,0,0,0,0,0
43,48,0,0.433838,0,0,0,0,0,0
44,49,0,0.443697,0,0,0,0,0,0
45,50,0,0.453557,0,0,0,0,0,0
46,51,0,0.463417,0,0,0,0,0,0
47,52,0,0.473277,0,0,0,0,0,0
48,53,0,0.483137,0,0,0,0,0,0
49,54,0,0.492997,0,0,0,0,0,0
50,55,0,0.502857,0,0,0,0,0,0
51,56,0,0.512717,0,0,0,0,0,0
52,57,0,0.522577,0,0,0,0,0,0
53,58,0,0.532437,0,0,0,0,0,0
54,59,0,0.542297,0,0,0,0,0,0
55,60,0,0.552157,0,0,0,0,0,0
56,61,0,0.562017,0,0,0,0,0,0
57,62,0,0.571877,0,0,0,0,0,0
58,63,0,0.581737,0,0,0,0,0,0
59,64,0,0.591597,0,0,0,0,0,0
60,65,0,0.601457,0,0,0,0,0,0
61,66,0,0.611317,0,0,0,0,0,0
62,67,0,0.621176,0,0,0,0,0,0
63,68,0,0.631036,0,0,0,0,0,0
64,69,0,0.640896,0,0,0,0,0,0
